"Acad Org","Class Nbr","Subj","CRS","Session","Cmp","Sctn","Days","Start Time","End Time","Mtg Start Date","Mtg End Date","Duration","Instruction Mode","Campus","Loctn","Building","Room","Instr","Status","Enrl Cap","Enrl Tot","Wait Cap","Wait Tot","Cmbnd ID","Cmbnd Descr","Cmbnd Enrl Tot","Cmbnd Enrl Cap"
"COMPSCI","90973","CSE"," 101","A","LEC",="01","MWF","11:45 AM","12:40 PM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","TBA",="TBA","Kevin McDonnell","A","    210","      0","     70","      0","","","",""
"COMPSCI","91019","CSE"," 101","A","LAB",="L01","RETU","09:45 AM","10:40 AM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2114","Kevin McDonnell","A","     30","      0","      9","      0"," "," "," "," "
"COMPSCI","91020","CSE"," 101","A","LAB",="L02","RETH","09:45 AM","10:40 AM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2114","Kevin McDonnell","A","     30","      0","      9","      0"," "," "," "," "
"COMPSCI","91021","CSE"," 101","A","LAB",="L03","RETU","11:30 AM","12:25 PM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2114","Kevin McDonnell","A","     30","      0","      9","      0"," "," "," "," "
"COMPSCI","91022","CSE"," 101","A","LAB",="L04","RETH","11:30 AM","12:25 PM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2114","Kevin McDonnell","A","     30","      0","      9","      0"," "," "," "," "
"COMPSCI","91113","CSE"," 101","A","LAB",="L05","RETU","01:15 PM","02:10 PM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2114","Kevin McDonnell","A","     30","      0","      9","      0"," "," "," "," "
"COMPSCI","91114","CSE"," 101","A","LAB",="L06","RETH","01:15 PM","02:10 PM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2114","Kevin McDonnell","A","     30","      0","     10","      0"," "," "," "," "
"COMPSCI","94520","CSE"," 101","A","LAB",="L07","RETU","03:00 PM","03:55 PM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2114","Kevin McDonnell","A","     30","      0","      9","      0"," "," "," "," "
"COMPSCI","94698","CSE"," 101","A","LEC",="50","TUTH","05:00 PM","06:20 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","IAP","TBA",="TBA","Alexander Kuhn","A","      1","      0","      0","      0"," "," "," "," "
"COMPSCI","89325","CSE"," 114","A","LEC",="01","TUTH","04:45 PM","06:05 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Paul Fodor; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA","A","    120","      0","     40","      0"," "," "," "," "
